동,utm_x,utm_y,가격,소재지,매물특징,계약/전용면적,해당층/총층,입주가능일,방향,현재업종,추천업종,용도지역,주구조,사용승인일,매물번호,제목,대지/연면적,건축/전용면적,지상층/지하층,용적률/건폐율,월관리비,현재용도,추천용도,총점포수,사용전력,총사무실수,권리금,준공인가일,사용검사일,경도,위도
예시동,302270.0898990034,3888096.2027922655,"월세5,000/365",광주시 서구 세하동,AURA 한옥카페 한옥스테이 마당있음 인근 공영주차장,272.42㎡/231.8㎡(전용률85%),1/1층,즉시입주 협의가능,남동향(주된 출입구 기준),-,-,-,-,1979.05.30,2515831161,일반상가1층,,,,,,,,,,,,,,126.830238,35.1163136
예시동,302634.6744894122,3888088.2577608363,"월세5,000/365",광주시 서구 세하동,AURA 한옥카페 한옥스테이 마당있음 인근 공영주차장,272.42㎡/231.8㎡(전용률85%),1/1층,즉시입주 협의가능,남동향(주된 출입구 기준),-,-,-,-,1979.05.30,2515831161,일반상가1층,,,,,,,,,,,,,,126.8342381,35.1163135
예시동,304168.9513850896,3887869.088441459,"월세8,000/400",광주시 서구 매월동,"단독건물임대, 매월저수지앞 , 넓은주차장, 저수지전망, 음식점적극추천",,,즉시입주,남동향(주된 출입구 기준),,,-,-,2008.01.18,2518397436,상가건물2층,882㎡/332.24㎡,-㎡/-㎡,2/-층,37.7/-%,0원,-,-,-,-,,,,,126.8511155,35.1146382
예시동,304168.9513850896,3887869.088441459,"월세8,000/350",광주시 서구 매월동,매월저수지옆 2층상가건물모든업종가,,,즉시입주,남동향(주된 출입구 기준),,,-,-,2008.01.18,2513774679,상가건물2층,882㎡/332.24㎡,219.49㎡/332.24㎡,2/-층,37.7/24.9%,,현공실,음식점/카페/사옥/애견카페등 모든업종가,-,-,,,,,126.8511155,35.1146382
예시동,304181.04557562794,3887861.202086245,"월세8,000/400",광주시 서구 매월동,"단독건물임대, 매월저수지앞 , 넓은주차장, 저수지전망, 음식점적극추천",,,즉시입주,남동향(주된 출입구 기준),,,-,-,2008.01.18,2518397436,상가건물2층,882㎡/332.24㎡,-㎡/-㎡,2/-층,37.7/-%,0원,-,-,-,-,,,,,126.85125,35.1145695
예시동,304181.04557562794,3887861.202086245,"월세8,000/350",광주시 서구 매월동,매월저수지옆 2층상가건물모든업종가,,,즉시입주,남동향(주된 출입구 기준),,,-,-,2008.01.18,2513774679,상가건물2층,882㎡/332.24㎡,219.49㎡/332.24㎡,2/-층,37.7/24.9%,,현공실,음식점/카페/사옥/애견카페등 모든업종가,-,-,,,,,126.85125,35.1145695
예시동,305214.5009801214,3887807.9837456224,"월세3,000/150",광주시 서구 매월동,-,497.76㎡/497.76㎡(전용률100%),2/2층,즉시입주,북서향(주된 출입구 기준),,,,,2004.12.22,2515499654,대형사무실2층,,,,,-,,,,,-,,,,126.8625958,35.1142904
예시동,305226.58946800965,3887800.141396343,"월세3,000/150",광주시 서구 매월동,-,497.76㎡/497.76㎡(전용률100%),2/2층,즉시입주,북서향(주된 출입구 기준),,,,,2004.12.22,2515499654,대형사무실2층,,,,,-,,,,,-,,,,126.8627302,35.1142221
예시동,305380.84037710057,3887913.9594690697,"월세1,000/100",광주시 서구 매월동,"사진有,무권리,내부칸막이 공간분리,에어컨설치",193.98㎡/193.98㎡(전용률100%),2/2층,즉시입주,북동향(주된 출입구 기준),,,,,2008.06.13,2514880638,대형사무실2층,,,,,-,,,,,-,,,,126.864395,35.1152775
예시동,305380.84037710057,3887913.9594690697,"월세1,000/100",광주시 서구 매월동,-,193.98㎡/193㎡(전용률99%),2/2층,즉시입주,동향(주된 출입구 기준),,,,,2008.06.13,2514207058,중소형사무실2층,,,,,-,,,,,-,,,,126.864395,35.1152775
