,소재지,매물특징,계약/전용면적,해당층/총층,입주가능일,융자금,방향,현재업종,추천업종,주차가능여부,총주차대수,난방(방식/연료),용도지역,건축물 용도,주구조,사용승인일,매물번호,매물설명,중개사,중개보수,제목,가격,위도,경도,대지면적,현재용도,추천용도,국토이용,도시계획,건축허가,토지거래허가구역,진입도로,취득세,월관리비,권리금,총사무실수,대지/연면적,건축/전용면적,지상층/지하층,용적률/건폐율,기보증금/월세,총점포수,사용전력,준공인가일
0,광주시 서구 광천동,"최근 올리모델링,시스템에어컨 설치,주차편리",135.98㎡/47㎡(전용률35%),1/2층,즉시입주,없음,남향(주된 출입구 기준),-,미용실/네일아트/속눈썹/화장품,불가능,-,개별난방/-,-,제1종 근린생활시설,-,1982.08.18,2514776533,"<중개대상물의 표시 · 광고 명시사항 관련정보>
개설등록번호 :29140-2020-00194
입주가능일 :즉시입주
방향기준 :출입문
방수 : 0개 욕실수 : 0개
건축물용도 :제1종 근린생활시설
사용승인일 :19820818","현대공인중개사사무소
대표서임숙등록번호
소재지
광주광역시 서구 광천동 106-23
전화010-9736-1256,010-9736-1256",최대 81만원(VAT 별도),일반상가1층,"월세1,000/80",35.1632605,126.8826943,,,,,,,,,,,,,,,,,,,,
1,광주시 서구 광천동,"무권리 I 대로변 I 코너자리 I 전시장, 판매장, 자동차업종 추천",302.86㎡/302.86㎡(전용률100%),1/2층,즉시입주,,서향(주된 출입구 기준),-,-,가능,2대,-/-,-,제2종 근린생활시설,-,2013.11.29,2517635165,"🥇
    🌟""골드공인중개사사무소""🌟
   대표 : 김현성 🌟010-4597-6026📞 
    언제든지 편하게 연락주세요!!
   모든 조건 적극 협의 해드리겠습니다!!! ✌

🏢 ➖➖➖➖【매 물 설 명】➖➖➖➖➖
  🟡 【면적】 : 약 302.86㎡ (약 91평)
  🟡 【보증금】 : 1억 5000만원
  🟡 【월차임】 : 550만원
  ✅ 【권리금】 : 없음
  🟡 【층수】 : 1 ~2 층 (복층구조)

📝 ➖➖➖➖【매 물 특 징】➖➖➖➖➖
  🟢 무권리 / 코너건물 / 광고효과 최상
  🟢 복층구조 / 뒷 주차공간 있음
  🟢 넓은전면 / 큰대로변
  ✅ 전시장, 판매점, 자동차업종 추천
  🟢 모든업종 가능 !!

* 화장실 남녀 1 / 방 0
- 자세한 사항은 문의주시면 안내드리겠습니다!🙇‍♂️

🥇 ─────【 매 물 담 당 자 】───────

       대표 공인중개사 김현성
   📞 문의전화【 010 - 4597 - 6026 】
      오늘 바로 연락 주세요!!

  ✔ 안녕하세요. ""골드부동산"" 입니다!!
✔ 이 외 다양한 매물 보유 중입니다.
  ✔ 조건에 맞는 매물 찾아드리겠습니다.
✔ 만족스러운 계약이 되도록 노력하겠습니다.🙋‍♂️","골드공인중개사사무소길찾기
대표김현성등록번호
소재지
광주 북구 첨단과기로208번길 43-10 마루힐아이비씨지식산업센터 제1층 147호(오룡동)
전화010-4597-6026,010-4597-6026
최근 3개월 집주인확인 29건
매매9전세1월세93단기0",최대 630만원(VAT 별도),일반상가1층,"월세1억 5,000/550",35.1628921,126.8850707,,,,,,,,,,,,,,,,,,,,
2,광주시 서구 광천동,"모든업종가능, 판매점등 적합, 대로변, 광고효과, 전면넓음,코너건물",302.86㎡/294.2㎡(전용률97%),1/2층,즉시입주,,서향(주된 출입구 기준),-,-,가능,2대,-/-,-,제1종 근린생활시설,-,2013.11.29,2515391295,"안녕하세요 :-)
공인중개사사무소 명백(明白) 입니다.
▨대표자 번호 : 010-4075-4000　김수민 공인중개사
─────── B U I L D I N G───────

▨ 모든업종가능, 추천매물, 도로접, 전면넓음, 접근성우수, 내부깔끔
*방2(홀1) / 화장실(욕실) 1 有
*무권리
*복층구조
─────────ＡＢＬＥ────────
*공인중개사사무소 명백(明白)
▨대표자 번호 : 010-4075-4000　김수민
상단에 광고중인 매물 외에도 매도(임대)인의 요청 등으로 광고하지 못한 다량에 매물을 보유중에 있습니다.

▨공인중개사사무소명백 / 김수민 대표공인중개사","공인중개사사무소명백길찾기
대표김수민등록번호
소재지
광주광역시 북구 설죽로171번길 7 2층 1호
전화062-521-4001,010-4075-4000
최근 3개월 집주인확인 120건
매매10전세0월세286단기0",최대 630만원(VAT 별도),일반상가1층,"월세1억 5,000/550",35.1628921,126.8850707,,,,,,,,,,,,,,,,,,,,
3,광주시 서구 광천동,l 무권리 l 대로변 l 전시장 판매점 수리점 적합 l 복층구조 l,302.86㎡/302.86㎡(전용률100%),1/2층,즉시입주,,서향(주된 출입구 기준),-,-,가능,2대,-/-,-,제1종 근린생활시설,-,2013.11.29,2513078965,"🔷광주 전지역 상가전문 양지공인중개사사무소🔷
대표 공인중개사 김형진 📞 010-9601-9250

✅전용면적 : 302.86㎡ (1~2층 복층사용)
✅임대조건 : 보증금 15,000만원 / 월차임 550만원
✅관리비 : 실사용량에 따른 부과 (뒷편 주차장 이용요금 월 50만원 있음)
✅권리금 : 무권리
✅화장실갯수 : 1개
✅매물특징 : l 무권리 l 대로변 l 전시장 판매점 수리점 적합 l 복층구조 l

☑️ 건축물 주용도 : 소매점
☑️ 해당층 용도 : 소매점
☑️ 위반건축물/미등기건물 유무 : 해당내용 없음

※ 해당내용은 건축물대장과 의뢰인 설명에 의해 작성되었으며 실제 현황과 일부 차이가 있을 수 있습니다.

─────────────────────

🔎 상가 매매/임대 최다보유 전문 부동산입니다.
🔎 매물번호 말씀해 주시면 빠른 상담 가능합니다.
🔎 광고에 올리지 않은 매물을 보유하고 있습니다.
🔎 고객의 입장에서 좋은 조건으로 협의하겠습니다.
🔎 안전한 거래를 위해 성실히 중개하겠습니다.

─────────────────────

📞 010-9601-9250 [양지공인중개사사무소]
찾으시는 조건의 매물 함께 안내해 드립니다.

[집파는남자] 블로그 : blog.naver.com/hangjin35","양지공인중개사사무소
대표김형진등록번호
소재지
광주광역시 서구 상무대로868번길 28 , 1층
전화010-9601-9250,010-9601-9250",최대 630만원(VAT 별도),일반상가1층,"월세1억 5,000/550",35.1628921,126.8850707,,,,,,,,,,,,,,,,,,,,
4,광주시 서구 광천동,MarKet.12층 통 건물 사용 조건.판매점 자동차관련 전시장 추천,302.86㎡/302.86㎡(전용률100%),1/2층,즉시입주,,서향(주된 출입구 기준),공실(빈점포),카샵 판매장 전시장 등,가능,2대,-/-,-,제1종 근린생활시설,-,2013.11.29,2513686436,"🔷 MarKet. 광주부동산마켓 🔷
▫광주 전지역 상가 매매/임대 전문 부동산

🟩 네이버 검색창 ”광주부동산마켓” 검색
▫공인중개사 강형득
📞 010-8613-7745
——
📌 매물정보
🟨【 위 치 】 : 광천동 대로변
🟨【 보증금 】 : 1억5천만원
🟨【 월차임 】 : 550만원
🟨【 관리비 】 : 없음(실사용량에 따른 부과)
🟨【 권 리 】 : 무권리
🟨【 면 적 】 : 1층 : 180.05㎡ + 2층 : 122.81㎡ = 302.86㎡ (구. 91평)
🟨【 층 수 】 : 1~2층 건물전체
🟨【 화장실 】 : 1개
🟨위반건축물 등재여부 : 해당사항 없음

📌 매물특징
✅자동차 관련. 전시장. 판매점 추천
✅무권리 
✅복층구조

📌 건축물용도
▫건축물 주용도 : 1종근린생활시설
▫해당층 용도 : 소매점


부동산표시광고에 기재된 전용면적은 의뢰인의 고지 및 설명에 의해 작성

——
🟡【 정직 】 - 현장 답사 100% 실매물 정보 제공
🟡【 신뢰 】 - 계약 이후 지속적인 관리
🟡【 조율 】 - 금액 / 세부사항 등 고객입장에서 적극 협의
🟡【 순발력 】 - 빠르고 신속한 응대
🟡【 상가 전문 】 - 상가매매/임대 최다보유/상가 전문 부동산
——

🔷 공인중개사 강형득
📞 010-8613-7745
📌 매물번호로 문의주시면 빠른 상담가능합니다.
📌 고객님의 니즈에 맞춤 매물 안내드리겠습니다.
📌 의뢰인 요청으로 광고에 없는 매물 다수 보유
🟩 네이버 검색창 ”부동산마켓” 검색 🟩","광주부동산마켓부동산중개
대표강형득등록번호
소재지
광주광역시 북구 용봉동 159-10
전화010-8613-7745,010-8613-7745",최대 630만원(VAT 별도),일반상가1층,"월세1억 5,000/550",35.1628921,126.8850707,,,,,,,,,,,,,,,,,,,,
5,광주시 서구 광천동,신세계백화점 4거리 대로변 코너 위치 최적,,,,,,,,,,,일반상업지역,,,,2513374659,"위지상 노후된건물 있으며
명도가능(신축시)","부동산Bank공인중개사사무소
대표박남방등록번호
소재지
광주광역시 서구 농성동 418-19 1층
전화062-364-8988,010-5194-6988","최대 2,862만원(VAT 별도)",대,"매매31억 8,000(3,689만원/3.3㎡)",35.1611949,126.8868141,285㎡,노후된 상가,일반상업용지 병의원 단독건물 신축 등,해당,해당,-,-,있음,"약 1억 4,628만원",,,,,,,,,,,
6,광주시 서구 농성동,"모든업종가능, 광천메인상권, 메디컬라인, 접근성, 유동인구多,적극추천",430.13㎡/302.89㎡(전용률70%),5/10층,즉시입주,,남향(주된 출입구 기준),-,-,가능,180대,-/-,-,제1종 근린생활시설,-,2012.07.17,2515391577,"안녕하세요 :-)
공인중개사사무소 명백(明白) 입니다.
▨대표자 번호 : 010-4075-4000　김수민 공인중개사
─────── B U I L D I N G───────

▨ 모든업종가능, 추천매물, 도로접, 전면넓음, 접근성우수, 내부깔끔
*방1(홀1) / 화장실(욕실) 1 有
*무권리
─────────ＡＢＬＥ────────
*공인중개사사무소 명백(明白)
▨대표자 번호 : 010-4075-4000　김수민
상단에 광고중인 매물 외에도 매도(임대)인의 요청 등으로 광고하지 못한 다량에 매물을 보유중에 있습니다.

▨공인중개사사무소명백 / 김수민 대표공인중개사","공인중개사사무소명백길찾기
대표김수민등록번호
소재지
광주광역시 북구 설죽로171번길 7 2층 1호
전화062-521-4001,010-4075-4000
최근 3개월 집주인확인 120건
매매10전세0월세286단기0",최대 630만원(VAT 별도),일반상가5층,월세1억/600,35.1600941,126.8849688,,,,,,,,,,117만원,,,,,,,,,,
7,광주시 서구 농성동,"사무실,온라인샵,뷰티적합. 주차편리",50㎡/50㎡(전용률100%),1/6층,즉시입주 협의가능,,북동향(주된 출입구 기준),의류/제화,-,가능,17대,-/-,-,제1종 근린생활시설,-,2015.09.21,2519107196,"* 음식점 / 성인PC 불가 (현 의류업종 영업중)

- 전용면적 : 50제곱미터 
(1층 소매점 101.29제곱미터 중 해당 중개대상물 일부면적임) 
 * 실측 오차 있을수 있음

- 보증금/월세 : 1000만원 / 70만원 (부가세 별도) 
- 관리비: 실사용에 따른 부과기준임
- 권리금: 없음
- 방갯수 : 0
- 화장실: 외부 총2개중 (1개 전용 사용 ) 
- 주차대수: 17대 (상가전용 주차 2대가능)

- 해당층 용도 : 제1종근린생활시설(소매점)
- 위반건축물 : 해당없음","메타부동산중개사무소길찾기
대표한민국등록번호
소재지
광주광역시 서구 쌍촌동 1235-7
전화010-2049-3601,010-2049-3601
최근 3개월 집주인확인 4건
매매3전세0월세79단기0",최대 72만원(VAT 별도),일반상가1층,"월세1,000/70",35.1581162,126.8869107,,,,,,,,,,,,,,,,,,,,
8,광주시 서구 농성동,의류점 사무실 판매시설 주차편리 뷰티샵,50㎡/50㎡(전용률100%),1/6층,2025년 05월 초순,,북동향(주된 출입구 기준),옷가게,기타 도소매,가능,17대,-/-,-,제1종 근린생활시설,-,2015.09.21,2517351733,"주차장 2대 가능하고
주변 길가에 주차 편리함
뷰티, 의류, 판매업 추천","주식회사조은날부동산중개길찾기
대표문경일등록번호
소재지
광주 서구 농성동415-57 101호(농성동, 농성지오스테이션)
전화062-366-0111,010-5670-9111
최근 3개월 집주인확인 13건
매매8전세9월세9단기0",최대 72만원(VAT 별도),일반상가1층,"월세1,000/70",35.1581162,126.8869107,,,,,,,,,,0원,없음,,,,,,,,,
9,광주시 서구 농성동,l 교직원공제회관 l 중대형사무실 적합 l 냉난방시설완비 l 교통편리,476㎡/228㎡(전용률48%),9/14층,즉시입주,,서향(주된 출입구 기준),,,가능,352대,-/-,,업무시설,,1996.06.26,2518453065,"🔷상가전문 양지공인중개사사무소🔷
대표 공인중개사 김형진 📞 010-9601-9250

✅ 전용면적 : 228㎡ (해당층 총면적 893.02㎡ 중 일부 228㎡)
✅ 임대조건 : 보증금 7,200만원 / 월차임 263만원
✅ 관리비 : 약 288만원 (전기/수도/광열비/청소 포함)
✅ 권리금 : 무권리
✅ 화장실갯수 : 2개 (복도공용)
✅ 매물특징 : l 교직원공제회관 l 중대형사무실 적합 l 냉난방시설완비 l 교통편리 l 전세권설정가능

☑️ 건축물 주용도 : 업무, 근생, 운동, 문화및집회시설
☑️ 해당층 용도 : 업무시설 (사무소)
☑️ 위반건축물/미등기건물 유무 : 해당없음

※ 해당내용은 건축물대장과 의뢰인 설명에 의해 작성되었으며 실제 현황과 일부 차이가 있을 수 있습니다
(해당면적은 해당층 임차인간의 필요에 의해 임의분할 되어 사용 중)

──────────────────

🔎 상가 매매/임대 최다보유 부동산입니다
🔎 매물번호 말씀하시면 빠른 상담 가능합니다
🔎 광고에 없는 알짜매물을 보유하고 있습니다
🔎 고객의 입장에서 성실히 협의하겠습니다
🔎 안전한 거래를 위해 책임중개하겠습니다

──────────────────

📞 010-9601-9250 [양지공인중개사사무소]
찾으시는 조건의 매물 함께 안내해 드립니다

블로그 : blog.naver.com/hangjin35
홈페이지 : www.양지부동산.com","양지공인중개사사무소
대표김형진등록번호
소재지
광주광역시 서구 상무대로868번길 28 , 1층
전화010-9601-9250","최대 301만 5,000원(VAT 별도)",대형사무실9층,"월세7,200/263",35.1576337,126.8845718,,,,,,,,,,288만원,,-,,,,,,,,
